year,month,revenue,nb_orders,period
2016,9,134.97,1,2016-09
2016,10,40451.8,265,2016-10
2016,12,10.9,1,2016-12
2017,1,112573.39,750,2017-01
2017,2,235483.4,1653,2017-02
2017,3,360865.25,2546,2017-03
2017,4,341209.62,2303,2017-04
2017,5,492620.44,3546,2017-05
2017,6,425387.66,3135,2017-06
2017,7,484637.74,3872,2017-07
2017,8,559317.01,4193,2017-08
2017,9,609750.15,4150,2017-09
2017,10,651438.5,4478,2017-10
2017,11,995199.9400000001,7289,2017-11
2017,12,728836.17,5513,2017-12
2018,1,930026.9400000001,7069,2018-01
2018,2,835720.63,6555,2018-02
2018,3,956923.96,7003,2018-03
2018,4,975779.41,6798,2018-04
2018,5,978065.68,6749,2018-05
2018,6,856909.79,6099,2018-06
2018,7,869842.48,6159,2018-07
2018,8,838650.76,6351,2018-08
